department,municipality,crop,yield_t_ha,relative_yield,avg_temperature,total_precipitation,pest_alert,pest_name,species,year,season,climate_risk,category_temp,category_rain
7,4,6,0.3238095238095238,0.48905104123666654,0.6982831263972971,0.6525557646132096,1,1,2,5,0,0,1,0
6,7,5,0.15873015873015872,0.23888274312390997,0.887844856994958,0.5500565690167338,0,2,0,5,0,0,1,0
3,9,5,0.40634920634920635,0.4680769275138076,0.3397359524399901,0.5595644038097376,0,2,0,0,0,0,0,0
7,10,6,0.2317460317460317,0.3611584776777068,0.5213789182796438,1.0,1,1,2,4,0,0,1,0
1,11,7,0.4126984126984127,0.6327242825592369,0.16586759923958816,0.2871568353134357,0,0,1,0,0,0,0,0
6,14,2,0.526984126984127,0.6555015336382989,0.803367717307867,0.7721710878902828,0,2,0,2,0,0,1,0
4,19,3,0.2222222222222222,0.2889906041853201,0.3172110349996702,0.6573678867414552,0,3,3,4,0,0,0,0
3,24,2,0.12380952380952381,0.17326166890309666,0.2216259032042922,0.6587873196191056,0,2,0,3,0,0,0,0
1,30,0,0.8158730158730158,0.8923047764820045,0.374329448620796,0.6034339182502055,0,2,0,1,1,0,0,0
2,31,4,0.16190476190476188,0.24788854684663356,0.21408436920474916,0.45472433571502524,0,2,0,1,1,0,0,0
5,33,6,0.10793650793650794,0.16308984727136358,0.47879960016522105,0.3472416804285112,0,1,2,0,1,0,1,0
2,35,6,0.003174603174603191,0.022123169444117546,0.3687735234766052,0.4220713771469722,0,1,2,2,1,0,0,0
7,36,6,0.073015873015873,0.1406540577484661,0.5146344897496444,0.5831787423675747,0,1,2,0,1,0,1,0
0,37,2,0.48571428571428565,0.6560313113711169,0.5396335844983531,0.8038572700800248,0,2,0,1,1,0,1,0
6,47,0,0.473015873015873,0.7370883901024271,0.42312534949503533,0.5935569709344319,0,2,0,1,0,0,0,0
0,3,4,0.12380952380952381,0.17835081815072343,0.40754706711259203,0.332479822075868,0,2,0,4,0,0,0,0
5,5,1,0.3841269841269841,0.40756555467932887,0.3997887788662027,0.8761515822339954,0,2,0,5,0,0,0,0
3,6,5,0.8476190476190476,0.9751608931195521,0.6950954244255083,0.7488112280910331,0,2,0,1,0,0,1,0
0,10,6,0.04444444444444445,0.0923887105406633,0.40754706711259203,0.332479822075868,0,1,2,4,0,0,0,0
6,13,6,0.06984126984126982,0.17224259790577132,0.27779167553221207,0.6678790815982287,0,1,2,3,0,0,0,0
5,16,5,0.29841269841269835,0.3964496601357407,0.3718596191184469,0.7601489603698894,0,2,0,1,0,0,0,0
4,19,1,0.5174603174603174,0.6887795187222719,0.41624956471077734,0.7178879741508677,0,2,0,3,1,0,0,0
6,21,4,0.2317460317460317,0.31812831226939986,0.6334819643239218,0.1830987208994701,0,2,0,3,1,0,1,0
3,22,6,0.05396825396825397,0.10814798418140367,0.2216259032042922,0.6587873196191056,0,1,2,3,0,0,0,0
7,30,5,0.13968253968253963,0.16424971025754295,0.24683334851130034,0.41414215037469404,0,2,0,4,1,0,0,0
1,31,3,0.45079365079365075,0.6214410216773514,0.3749871978054573,0.711625197812678,0,3,3,1,0,0,0,0
4,36,3,0.6349206349206349,0.7984530203466609,0.41624956471077734,0.7178879741508677,0,3,3,3,1,0,0,0
1,38,5,0.019047619047619063,0.054303098980161,0.5189155089769342,0.6667353309890451,1,2,0,2,1,0,1,0
3,41,3,0.012698412698412709,0.05905870678492664,0.2216259032042922,0.6587873196191056,0,3,3,3,0,0,0,0
6,1,5,0.08253968253968255,0.13804310989059757,0.46203619146303954,0.9078677352889164,1,2,0,2,1,0,1,0
2,12,4,0.6253968253968254,0.8682742652669246,0.3228621976574866,0.7953745891167685,0,2,0,3,1,0,0,0
4,23,7,0.2825396825396825,0.4646044714343325,0.5488261328080419,0.7511705280330245,1,0,1,0,0,0,1,0
7,34,6,0.23492063492063492,0.36556856607629173,0.34040153197208856,0.4789263338995875,0,1,2,2,0,0,0,0
2,2,0,0.526984126984127,0.6358235241100603,0.22150118839545296,0.7776249903183627,0,2,0,3,0,0,0,0
6,3,3,0.03492063492063491,0.04466693635382962,0.5496004039515352,0.4160850014094928,0,3,3,4,1,0,1,0
2,6,6,0.38095238095238093,0.49673615395958404,0.21408436920474916,0.45472433571502524,0,1,2,1,1,0,0,0
2,8,6,0.38095238095238093,0.49673615395958404,0.24698304007166882,0.7273055550657528,0,1,2,4,1,0,0,0
1,11,6,0.6603174603174603,0.9777029105500723,0.3749871978054573,0.711625197812678,0,1,2,1,0,0,0,0
2,19,6,0.48571428571428565,0.6283515194134528,0.24698304007166882,0.7273055550657528,0,1,2,4,1,0,0,0
2,22,4,0.6698412698412698,0.9277633067592812,0.3778700940245816,0.9858949486539306,0,2,0,2,0,0,0,0
0,26,6,0.30158730158730157,0.43875370393128765,0.40754706711259203,0.332479822075868,0,1,2,4,0,0,0,0
7,27,0,0.38730158730158726,0.3689429518964209,0.2784766362864808,0.15244946660718028,0,2,0,1,1,0,0,0
0,29,7,0.24444444444444446,0.35701399058794536,0.6433216078782618,0.6578610714336488,1,0,1,4,1,0,1,0
1,32,3,0.15873015873015872,0.23680271768592911,0.3289872047246103,0.3059536353880681,0,3,3,0,1,0,0,0
6,35,1,0.526984126984127,0.7184408920454235,0.46203619146303954,0.9078677352889164,0,2,0,2,1,0,1,0
0,37,1,0.5873015873015873,0.6439359129981911,0.07033308036035546,0.6657032642628771,0,2,0,3,1,0,0,0
5,41,5,0.46984126984126984,0.6130991809422279,0.5825428175581671,0.861535160909459,0,2,0,4,1,0,1,0
4,48,6,0.30476190476190473,0.5094832154978969,0.709457062776405,0.584343178896467,0,1,2,3,0,0,1,0
2,6,4,0.473015873015873,0.6643118372931303,0.8847428159183348,0.7746451710045479,0,2,0,5,0,0,1,0
0,9,1,0.6190476190476191,0.6790515856937833,0.731779196326154,0.9031034395681923,0,2,0,2,0,0,1,0
6,10,1,0.09841269841269845,0.15611383742439303,0.887844856994958,0.5500565690167338,0,2,0,5,0,0,1,0
7,15,5,0.8444444444444444,0.9802936192413787,0.5146344897496444,0.5831787423675747,0,2,0,0,1,0,1,0
3,17,7,0.38730158730158726,0.5378239990705203,0.2216259032042922,0.6587873196191056,0,0,1,3,0,0,0,0
3,22,0,0.4984126984126983,0.561045032100188,0.2216259032042922,0.6587873196191056,0,2,0,3,0,0,0,0
3,27,4,0.19682539682539685,0.25161268919569746,0.25775801026777145,0.4622753323838902,0,2,0,2,0,0,0,0
5,28,0,0.1746031746031746,0.20552612144367935,0.5624971020891163,0.708605385023577,1,2,0,2,1,0,1,0
4,33,3,0.5587301587301586,0.7043984204399517,0.3172110349996702,0.6573678867414552,0,3,3,4,0,0,0,0
0,37,6,0.14285714285714285,0.2249481524555936,0.5396335844983531,0.8038572700800248,1,1,2,1,1,0,1,0
7,39,3,0.31111111111111106,0.4062180765328125,0.3313278110071547,0.7912312142913782,0,3,3,3,1,0,0,0
1,0,1,0.36825396825396817,0.5684090490507728,0.0,0.324594266405283,0,2,0,4,0,0,0,0
4,34,6,0.3555555555555556,0.5851835564125406,0.3172110349996702,0.6573678867414552,0,1,2,4,0,0,0,0
7,46,0,0.05714285714285716,0.03624855588803011,0.16124039153547898,0.6075689932475568,0,2,0,2,1,0,0,0
1,47,6,0.21587301587301583,0.34879615541146114,0.374329448620796,0.6034339182502055,0,1,2,1,1,0,0,0
2,48,6,0.19365079365079368,0.26142383390569723,0.49959983630583427,0.4456087181147783,0,1,2,0,1,0,1,0
4,49,4,0.13650793650793652,0.29472650970993386,0.5488261328080419,0.7511705280330245,1,2,0,0,0,0,1,0
5,5,1,0.7841269841269841,0.8414535178575266,0.3997887788662027,0.8761515822339954,0,2,0,5,0,0,0,0
6,6,6,0.3333333333333333,0.5797783540180175,0.27779167553221207,0.6678790815982287,0,1,2,3,0,0,0,0
7,9,5,0.2952380952380952,0.3443675099882094,0.01726266913839769,0.404977750041164,0,2,0,1,0,0,0,0
0,11,5,0.4,0.514912543227431,0.5396335844983531,0.8038572700800248,1,2,0,1,1,0,1,0
5,14,4,0.8476190476190476,0.9136731109106313,0.459852258623342,0.27231617103819517,0,2,0,2,0,0,1,0
0,15,5,0.23492063492063492,0.3092185841028052,0.30062990502915987,0.5890303818252463,0,2,0,5,0,0,0,0
0,18,7,0.5746031746031746,0.7978236294648093,0.5396335844983531,0.8038572700800248,0,0,1,1,1,0,1,0
7,19,0,0.7650793650793651,0.7496221165598682,0.2784766362864808,0.15244946660718028,0,2,0,1,1,0,0,0
1,21,0,0.6380952380952379,0.696471285854992,0.3790883422752982,0.786815128401706,0,2,0,3,1,0,0,0
7,31,0,0.2761904761904762,0.2569784917012894,0.34040153197208856,0.4789263338995875,0,2,0,2,0,0,0,0
4,32,4,0.33650793650793653,0.6171841550719127,0.3172110349996702,0.6573678867414552,0,2,0,4,0,0,0,0
2,33,2,0.30158730158730157,0.4483172427376556,0.21408436920474916,0.45472433571502524,0,2,0,1,1,0,0,0
7,40,4,0.28888888888888886,0.4981983572588381,0.24683334851130034,0.41414215037469404,0,2,0,4,1,0,0,0
5,0,2,0.5333333333333333,0.6613169656390527,0.5624971020891163,0.708605385023577,0,2,0,2,1,0,1,0
4,46,3,0.04126984126984126,0.06561092940688601,0.3172110349996702,0.6573678867414552,0,3,3,4,0,0,0,0
3,48,6,0.6190476190476191,0.8770824253198211,0.7098564104956644,0.7291188431445734,0,1,2,0,1,0,1,0
7,49,7,0.653968253968254,0.7732437576417173,0.2784766362864808,0.15244946660718028,0,0,1,1,1,0,0,0
0,2,5,0.6412698412698412,0.8155421757941916,0.5490927667582532,0.38308639215389473,0,2,0,3,0,0,1,0
6,7,0,0.6507936507936507,0.9955243900282387,0.42312534949503533,0.5935569709344319,0,2,0,1,0,0,0,0
2,10,3,0.0,0.012417588213470138,0.3778700940245816,0.9858949486539306,0,3,3,2,0,0,0,0
2,13,1,0.8063492063492064,0.9725949359417234,0.21408436920474916,0.45472433571502524,0,2,0,1,1,0,0,0
1,19,6,0.06984126984126982,0.14215536443734603,0.3749871978054573,0.711625197812678,0,1,2,1,0,0,0,0
0,25,3,0.5460317460317461,0.7093878568562225,0.5396335844983531,0.8038572700800248,0,3,3,1,1,0,1,0
2,26,0,0.7873015873015873,0.9460211416821875,0.3228621976574866,0.7953745891167685,0,2,0,3,1,0,0,0
4,29,0,0.6793650793650794,0.8691601444814752,0.49742583043358923,0.6987841617338155,0,2,0,4,1,0,1,0
5,30,3,0.3142857142857143,0.49890818476539533,0.4238938044177267,0.26681131444109507,0,3,3,3,1,0,0,0
2,37,2,0.692063492063492,0.982391418493265,0.3228621976574866,0.7953745891167685,0,2,0,3,1,0,0,0
7,40,4,0.1746031746031746,0.3247139097846944,0.5213789182796438,1.0,1,2,0,4,0,0,1,0
6,41,4,0.7428571428571428,0.9718285067932828,0.4305383431834624,0.4639636387643966,0,2,0,0,1,0,0,0
1,42,3,0.5206349206349207,0.7134197465448655,0.3790883422752982,0.786815128401706,0,3,3,3,1,0,0,0
3,44,0,0.5619047619047619,0.6327674888584889,0.6950954244255083,0.7488112280910331,0,2,0,1,0,0,1,0
0,12,1,0.3555555555555556,0.3875915023203682,0.731779196326154,0.9031034395681923,1,2,0,2,0,0,1,0
1,8,5,0.7142857142857143,0.9756106571572434,0.3790883422752982,0.786815128401706,0,2,0,3,1,0,0,0
1,11,0,0.73015873015873,0.7978850577868377,0.42511623208878824,0.0,0,2,0,4,1,0,0,0
0,13,2,0.292063492063492,0.40442472954904873,0.731779196326154,0.9031034395681923,1,2,0,2,0,0,1,0
4,15,7,0.40634920634920635,0.6458245275819567,0.5488261328080419,0.7511705280330245,0,0,1,0,0,0,1,0
4,17,5,0.09206349206349207,0.14417137215416678,0.49742583043358923,0.6987841617338155,1,2,0,4,1,0,1,0
3,18,1,0.5619047619047619,0.704208356294644,0.7098564104956644,0.7291188431445734,0,2,0,0,1,0,1,0
3,20,4,0.7079365079365079,0.8738993732275862,0.4337600083806423,0.7469683148991253,0,2,0,4,1,0,0,0
6,22,0,0.41587301587301584,0.6540196758405591,0.5496004039515352,0.4160850014094928,0,2,0,4,1,0,1,0
6,24,3,0.4126984126984127,0.4854533375430843,0.803367717307867,0.7721710878902828,1,3,3,2,0,0,1,0
6,29,6,0.073015873015873,0.17715266725652115,0.47322884726648873,0.24817961992934734,0,1,2,4,0,0,1,0
3,12,4,0.05714285714285716,0.08154676312487055,0.4519382782652528,0.6350241154309053,0,2,0,1,1,0,0,0
1,34,5,0.26666666666666666,0.3824400375089849,0.0,0.324594266405283,0,2,0,4,0,0,0,0
7,6,1,0.5015873015873016,0.6735236440309976,0.24683334851130034,0.41414215037469404,0,2,0,4,1,0,0,0
4,7,6,0.14920634920634918,0.27765092144680104,0.3172110349996702,0.6573678867414552,0,1,2,4,0,0,0,0
6,13,1,0.031746031746031744,0.0686407400388993,0.7062188736615447,0.7849849405396583,1,2,0,0,0,0,1,0
2,18,2,0.4539682539682539,0.6567364332764298,0.3557878588117651,0.2836449415924456,0,2,0,1,0,0,0,0
4,22,5,0.5619047619047619,0.7538822277282684,0.33189783751439794,0.39783538053412837,0,2,0,5,0,0,0,0
5,28,6,0.4126984126984127,0.5566581245508939,0.5825428175581671,0.861535160909459,1,1,2,4,1,0,1,0
1,29,6,0.41587301587301584,0.6318041952238362,0.37407641364350663,0.833010097580444,0,1,2,5,0,0,0,0
3,30,7,0.10476190476190472,0.16572824847012288,0.3397359524399901,0.5595644038097376,0,0,1,0,0,0,0,0
6,31,6,0.3746031746031746,0.6436092555777668,0.46203619146303954,0.9078677352889164,0,1,2,2,1,0,1,0
1,32,6,0.5714285714285713,0.8519215595223499,0.3289872047246103,0.3059536353880681,0,1,2,0,1,0,0,0
3,33,2,0.17142857142857143,0.23301628647354436,0.25775801026777145,0.4622753323838902,0,2,0,2,0,0,0,0
4,38,2,0.8222222222222221,0.8795320999918501,0.4241332949169907,0.7343195898959207,0,2,0,1,1,0,0,0
5,39,0,0.19999999999999996,0.23499724653258633,0.9391480225458171,0.6776426206665676,1,2,0,1,1,0,1,0
5,42,6,0.6,0.7985386282956052,0.4238938044177267,0.26681131444109507,0,1,2,3,1,0,0,0
1,12,0,0.6031746031746031,0.6580039930532574,0.3749871978054573,0.711625197812678,0,2,0,1,0,0,0,0
2,23,2,0.2507936507936508,0.3788441792247308,0.3557878588117651,0.2836449415924456,0,2,0,1,0,0,0,0
6,34,1,0.3746031746031746,0.5185023837357237,0.27779167553221207,0.6678790815982287,0,2,0,3,0,0,0,0
3,2,7,0.2793650793650793,0.3956750606389078,0.25775801026777145,0.4622753323838902,0,0,1,2,0,0,0,0
6,4,1,0.49523809523809526,0.6767870361475693,0.46203619146303954,0.9078677352889164,0,2,0,2,1,0,1,0
3,8,0,0.7492063492063491,0.8443487362954762,0.31975296695675937,0.6770819132972177,0,2,0,4,0,0,0,0
6,10,0,0.30158730158730157,0.48788224731682295,0.46203619146303954,0.9078677352889164,1,2,0,2,1,0,1,0
2,11,6,0.7333333333333333,0.9394423832135066,0.4321475105997541,0.7595012887024524,0,1,2,4,0,0,0,0
