department,municipality,crop,period,yield_t_ha,relative_yield,avg_temperature,total_precipitation,pest_alert,pest_name,species;;;;
Huila,Municipio_1,Maíz,2020A,2.03,0.6151515151515151,20.703035714285715,20.150752688172044,1,,;;;;
Boyacá,Municipio_29,Arroz,2022B,0.72,0.14906832298136646,19.71015873015873,20.630892857142857,1,,;;;;
Valle del Cauca,Municipio_32,Arroz,2021B,0.88,0.16666666666666666,18.87890625,20.003529411764706,1,,;;;;
Valle del Cauca,Municipio_37,Plátano,2019B,1.63,0.42558746736292424,20.22736842105263,19.918163265306124,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Antioquia,Municipio_38,Arroz,2023B,0.55,0.12672811059907835,20.718405797101447,20.179552238805968,1,,;;;;
Tolima,Municipio_40,Café,2022B,2.29,0.5647348951911221,20.680860215053762,18.51787878787879,1,,;;;;
Nariño,Municipio_3,Arroz,2020A,2.99,0.6521264994547438,19.68257575757576,20.537560975609754,1,,;;;;
Antioquia,Municipio_6,Tomate,2019A,1.33,0.3337515683814304,20.655535714285715,19.134545454545457,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Cauca,Municipio_13,Cebolla,2021A,0.72,0.16513761467889906,19.70551020408163,21.32767441860465,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Tolima,Municipio_26,Papa,2021A,1.38,0.34328358208955223,21.329101123595507,20.579638554216867,1,,;;;;
Tolima,Municipio_27,Café,2023B,1.69,0.41676942046855736,20.36078947368421,19.333333333333332,1,,;;;;
Antioquia,Municipio_33,Arroz,2022B,2.28,0.5253456221198156,18.532027027027027,20.207,1,,;;;;
Cundinamarca,Municipio_34,Maíz,2023A,1.08,0.2471395881006865,19.48375,20.246825396825397,1,,;;;;
Cundinamarca,Municipio_36,Papa,2019B,2.0,0.4319654427645788,20.972285714285714,20.428955223880596,1,,;;;;
Huila,Municipio_37,Caña de azúcar,2022B,0.99,0.20121951219512196,19.851956521739133,20.389647058823527,1,,;;;;
Antioquia,Municipio_41,Papa,2024A,1.28,0.29976580796252933,19.41078125,19.938644067796613,1,,;;;;
Cundinamarca,Municipio_46,Caña de azúcar,2023A,2.83,0.6674528301886792,19.48375,20.246825396825397,1,,;;;;
Antioquia,Municipio_47,Arroz,2023A,1.32,0.30414746543778803,19.81875,19.040714285714284,1,,;;;;
Valle del Cauca,Municipio_48,Caña de azúcar,2020A,1.37,0.31136363636363634,18.32952380952381,19.294457831325303,1,,;;;;
Cauca,Municipio_0,Cebolla,2024A,1.54,0.3532110091743119,21.639607843137252,20.588297872340426,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Huila,Municipio_1,Tomate,2020A,2.18,0.5997248968363137,20.703035714285715,20.150752688172044,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_2,Tomate,2022B,1.74,0.38410596026490074,19.527916666666666,20.646349206349207,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Cauca,Municipio_8,Plátano,2021A,2.74,0.6469893742621016,19.70551020408163,21.32767441860465,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_12,Plátano,2024A,1.52,0.3968668407310705,20.928125,20.160983606557377,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Tolima,Municipio_15,Papa,2024A,1.0,0.24875621890547267,21.651444444444447,19.802235294117647,1,,;;;;
Cundinamarca,Municipio_17,Papa,2019A,1.78,0.3844492440604752,19.56,19.83551282051282,1,,;;;;
Valle del Cauca,Municipio_18,Plátano,2023A,1.23,0.32114882506527415,20.253103448275862,21.377042253521125,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_19,Tomate,2019A,1.8,0.4819277108433735,18.896562499999998,18.882083333333334,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Tolima,Municipio_21,Caña de azúcar,2021A,2.16,0.4954128440366972,21.329101123595507,20.579638554216867,1,,;;;;
Huila,Municipio_26,Cebolla,2023A,1.2,0.2784222737819025,19.474050632911393,20.17782608695652,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cundinamarca,Municipio_30,Caña de azúcar,2022A,0.89,0.20990566037735847,19.109322033898305,20.18279411764706,1,,;;;;
Boyacá,Municipio_36,Arroz,2020B,3.07,0.6356107660455486,19.692,19.989056603773587,1,,;;;;
Cauca,Municipio_37,Maíz,2020B,1.01,0.2540880503144654,19.080545454545454,19.468571428571426,1,,;;;;
Nariño,Municipio_39,Plátano,2019B,0.84,0.20388349514563106,20.090631578947367,19.092380952380953,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_40,Plátano,2021B,0.51,0.1204250295159386,19.6708,19.354285714285716,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_41,Plátano,2019B,0.73,0.19060052219321147,20.22736842105263,19.918163265306124,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Antioquia,Municipio_42,Caña de azúcar,2020B,2.03,0.4957264957264956,20.322758620689655,20.69054054054054,1,,;;;;
Tolima,Municipio_7,Arroz,2020A,1.99,0.5437158469945355,19.87819277108434,19.95448717948718,1,,;;;;
Antioquia,Municipio_11,Maíz,2023A,0.89,0.21291866028708137,19.81875,19.040714285714284,1,,;;;;
Nariño,Municipio_13,Café,2024A,1.71,0.3486238532110092,19.789146341463415,20.943571428571428,1,,;;;;
Cundinamarca,Municipio_14,Papa,2020A,3.17,0.6846652267818575,20.91596153846154,20.497878787878786,1,,;;;;
Antioquia,Municipio_18,Plátano,2023A,0.64,0.1620253164556962,19.81875,19.040714285714284,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Tolima,Municipio_20,Plátano,2022A,0.72,0.20930232558139533,19.323636363636364,20.214615384615385,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Nariño,Municipio_23,Papa,2020A,1.44,0.342042755344418,19.68257575757576,20.537560975609754,1,,;;;;
Huila,Municipio_26,Café,2022B,2.13,0.5151148730350665,19.851956521739133,20.389647058823527,1,,;;;;
Tolima,Municipio_28,Maíz,2022B,1.23,0.2956730769230769,20.680860215053762,18.51787878787879,1,,;;;;
Cundinamarca,Municipio_29,Plátano,2022A,0.67,0.17135549872122763,19.109322033898305,20.18279411764706,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_36,Papa,2023B,0.94,0.2045701849836779,19.20550724637681,19.326533333333334,1,,;;;;
Boyacá,Municipio_37,Cebolla,2020A,1.92,0.47524752475247534,19.69450980392157,20.367727272727272,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Huila,Municipio_41,Cebolla,2022B,2.5,0.5800464037122969,19.851956521739133,20.389647058823527,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Boyacá,Municipio_43,Papa,2021B,0.56,0.13947696139476964,20.243703703703705,20.21061224489796,1,,;;;;
Cundinamarca,Municipio_46,Cebolla,2022A,0.54,0.1422924901185771,19.109322033898305,20.18279411764706,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Tolima,Municipio_1,Papa,2021B,0.76,0.18905472636815923,20.026666666666667,21.05457831325301,1,,;;;;
Cauca,Municipio_2,Maíz,2022B,2.47,0.6213836477987422,19.49561403508772,20.660851063829785,1,,;;;;
Huila,Municipio_3,Tomate,2019A,1.39,0.38239339752407153,20.35783505154639,20.50613636363636,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Valle del Cauca,Municipio_4,Plátano,2021A,1.24,0.3237597911227154,19.562539682539683,19.55327868852459,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_10,Arroz,2022A,2.16,0.48376259798432253,19.10884615384615,20.598727272727274,1,,;;;;
Tolima,Municipio_11,Cebolla,2023B,0.61,0.1337719298245614,20.36078947368421,19.333333333333332,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Cauca,Municipio_14,Plátano,2020B,1.7,0.4014167650531286,19.080545454545454,19.468571428571426,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_16,Plátano,2023B,1.7,0.4014167650531286,19.20607843137255,20.422608695652176,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Boyacá,Municipio_19,Plátano,2020A,2.58,0.6861702127659575,19.69450980392157,20.367727272727272,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_26,Plátano,2023B,2.03,0.4793388429752065,19.20607843137255,20.422608695652176,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_29,Maíz,2021A,2.61,0.6566037735849057,19.70551020408163,21.32767441860465,1,,;;;;
Antioquia,Municipio_32,Plátano,2023A,1.45,0.36708860759493667,19.81875,19.040714285714284,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_33,Arroz,2020B,1.72,0.32575757575757575,19.326249999999998,18.41060606060606,1,,;;;;
Antioquia,Municipio_35,Tomate,2023B,1.27,0.3186951066499373,20.718405797101447,20.179552238805968,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Boyacá,Municipio_38,Cebolla,2019B,1.0,0.24752475247524758,19.518985507246377,18.94787234042553,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Tolima,Municipio_40,Café,2021B,2.16,0.5326757090012331,20.026666666666667,21.05457831325301,1,,;;;;
Antioquia,Municipio_42,Café,2022B,2.35,0.48856548856548865,18.532027027027027,20.207,1,,;;;;
Nariño,Municipio_46,Papa,2023B,1.98,0.47030878859857483,20.486489361702127,20.89241379310345,1,,;;;;
Huila,Municipio_8,Plátano,2022A,1.46,0.40896358543417366,20.970761904761904,19.92223880597015,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Cauca,Municipio_14,Maíz,2024A,1.99,0.5006289308176101,21.639607843137252,20.588297872340426,1,,;;;;
Antioquia,Municipio_17,Café,2021A,2.45,0.5093555093555094,21.0559375,21.03790322580645,1,,;;;;
Tolima,Municipio_18,Café,2024A,0.81,0.19975339087546243,21.651444444444447,19.802235294117647,1,,;;;;
Valle del Cauca,Municipio_22,Papa,2019B,3.16,0.6877040261153429,20.22736842105263,19.918163265306124,1,,;;;;
Cundinamarca,Municipio_24,Tomate,2022A,1.72,0.42574257425742573,19.109322033898305,20.18279411764706,1,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny,Anastrepha complejo fraterculus (Wiedemann);Ceratitis capitata (Wiedemann);Thrips palmi Karny
Cundinamarca,Municipio_29,Arroz,2022A,2.07,0.43949044585987257,19.109322033898305,20.18279411764706,1,,;;;;
Cundinamarca,Municipio_33,Maíz,2021A,1.12,0.2562929061784897,19.247192982456138,19.495,1,,;;;;
Nariño,Municipio_34,Arroz,2021B,1.05,0.22900763358778628,20.41,20.357157894736844,1,,;;;;
Huila,Municipio_39,Cebolla,2023A,2.26,0.5243619489559164,19.474050632911393,20.17782608695652,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Antioquia,Municipio_42,Plátano,2020B,0.95,0.24050632911392403,20.322758620689655,20.69054054054054,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_44,Cebolla,2022B,1.48,0.34782608695652173,19.527916666666666,20.646349206349207,1,Thrips palmi Karny,Thrips palmi Karny;;;;
Boyacá,Municipio_0,Café,2023A,1.66,0.4438502673796791,18.263653846153847,19.01311475409836,1,,;;;;
Huila,Municipio_4,Plátano,2023A,1.62,0.45378151260504207,19.474050632911393,20.17782608695652,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
Valle del Cauca,Municipio_6,Arroz,2021B,0.68,0.12878787878787878,18.87890625,20.003529411764706,1,,;;;;
Boyacá,Municipio_7,Plátano,2020B,1.18,0.31382978723404253,19.692,19.989056603773587,1,Fusarium oxysporum f. sp. cubense raza 4 tropical,Fusarium oxysporum f. sp. cubense raza 4 tropical;;;;
